geneID,DFB,DFB,Fe,Fe
Ga0401699_0015174_36_6311,50,22,4,0
Ga0401699_0015661_1_6264,51,36,9,6
Ga0401699_0015744_50_6100,45,19,2,3
Ga0401699_0015823_88_6159,23,20,0,1
Ga0401699_0016176_1_6084,26,16,1,2
Ga0401699_0016184_2_5473,17,9,0,0
Ga0401699_0016237_1_6141,132,122,7,4
Ga0401699_0016422_2_5845,26,12,0,0
Ga0401699_0016455_4303_5268,103,46,43,49
Ga0401699_0016562_441_6083,32,13,0,1
Ga0401699_0016658_18_749,78,166,11,23
Ga0401699_0016737_26_6091,22,19,0,0
Ga0401699_0016878_3_6062,61,30,4,4
Ga0401699_0016987_31_6045,106,61,12,14
Ga0401699_0017070_6_3503,136,71,53,38
Ga0401699_0017219_2_6010,19,12,0,0
Ga0401699_0017314_399_5921,68,53,0,0
Ga0401699_0017432_17_5935,22,17,0,0
Ga0401699_0017505_150_5777,15,9,1,0
Ga0401699_0017559_1690_2418,71,96,51,34
Ga0401699_0017559_3052_4845,210,209,117,142
Ga0401699_0017657_488_1726,230,130,1,3
Ga0401699_0017817_2413_2838,8,17,65,36
Ga0401699_0017839_207_1502,157,156,2,0
Ga0401699_0017988_105_1484,248,237,1,2
Ga0401699_0018016_34_5475,143,91,44,19
Ga0401699_0018161_113_5875,564,390,72,51
Ga0401699_0018612_2_5818,48,24,7,0
Ga0401699_0018705_1992_2411,46,32,302,337
Ga0401699_0018705_4462_4821,8,3,37,55
Ga0401699_0018705_612_1094,51,58,161,187
Ga0401699_0018759_4_5715,26,25,0,0
Ga0401699_0018949_168_5774,30,38,14,10
Ga0401699_0019046_511_5760,23,8,0,0
Ga0401699_0019112_1_5754,33,28,1,2
Ga0401699_0019217_3_5624,26,7,0,0
Ga0401699_0019244_2193_5561,17,6,0,0
Ga0401699_0019473_3424_3843,96,105,628,701
Ga0401699_0019473_3912_4661,35,90,225,171
Ga0401699_0019506_1826_3322,213,291,24,33
Ga0401699_0019506_92_1570,160,266,28,29
Ga0401699_0019534_337_5604,21,17,1,0
Ga0401699_0019624_448_939,52,52,89,93
Ga0401699_0019761_606_5297,1,12,0,0
Ga0401699_0019825_2_5659,18,11,1,0
Ga0401699_0019834_162_5660,24,8,0,0
Ga0401699_0019840_1140_1757,29,32,0,2
Ga0401699_0019840_142_510,29,15,0,0
Ga0401699_0019840_691_1122,9,17,0,0
Ga0401699_0019861_877_5655,21,17,0,0
Ga0401699_0019895_3_5648,587,343,77,51
Ga0401699_0019998_2843_3028,178,196,70,59
Ga0401699_0020057_3191_5404,165,116,172,215
Ga0401699_0020058_1_5604,399,286,53,47
Ga0401699_0020076_127_5628,42,13,1,3
Ga0401699_0020077_2_5290,17,14,0,2
Ga0401699_0020199_5_5476,148,132,10,3
Ga0401699_0020225_237_5399,52,45,4,4
Ga0401699_0020259_1_5265,49,27,10,5
Ga0401699_0020305_61_5478,67,27,0,0
Ga0401699_0020306_115_5541,232,138,1,0
Ga0401699_0020553_61_5307,92,67,99,131
Ga0401699_0020560_101_2920,12,13,0,0
Ga0401699_0020839_28_5535,28,14,0,0
Ga0401699_0021068_2178_2987,261,174,2,0
Ga0401699_0021068_3010_3765,256,191,0,8
Ga0401699_0021068_35_472,6,10,0,0
Ga0401699_0021068_3944_4387,68,61,2,0
Ga0401699_0021068_4389_4679,69,66,3,1
Ga0401699_0021068_622_2160,662,506,8,9
Ga0401699_0021105_1_5028,16,12,0,0
Ga0401699_0021219_190_5496,92,40,0,0
Ga0401699_0021243_14_5458,50,40,0,0
Ga0401699_0021455_210_5399,60,95,189,217
Ga0401699_0021713_287_5440,37,10,0,0
Ga0401699_0021792_48_5135,153,49,5,1
Ga0401699_0021857_62_3892,12,5,0,0
Ga0401699_0021890_55_5370,71,50,1,0
Ga0401699_0021904_86_5311,28,17,1,1
Ga0401699_0022054_3_5387,75,46,0,0
Ga0401699_0022117_61_5397,21,13,0,0
Ga0401699_0022161_3388_4452,61,79,388,387
Ga0401699_0022161_4765_5067,16,36,152,140
Ga0401699_0022161_967_1311,6,6,135,140
Ga0401699_0022270_213_5372,39,29,2,2
Ga0401699_0022286_70_5172,217,210,123,110
Ga0401699_0022601_18_5192,31,22,91,105
Ga0401699_0022638_36_5342,79,43,8,2
